#RotSpeed_[rpm],RtAeroCt_[-]
0.2000000084295061 , 0.072613
2.2620690608577734 , 0.104116
4.3241381554335465 , 0.217665
6.386207587189242  , 0.392958
8.448275333045263  , 0.605860
10.51034442762103  , 0.749650
12.572413522196815 , 0.839597
14.634481942412698 , 0.907450
16.69655171134833  , 0.968879
18.75862148028398  , 1.027371
20.820689900499886 , 1.083892
22.88275966943554  , 1.139057
24.944830787090947 , 1.193351
27.006896509867328 , 1.200730
33.19310446795451  , 1.208764
37.3172413083863   , 1.233339
39.37930972860217  , 1.295509
41.441380846257594 , 1.359380
43.50344926647347  , 1.430015
45.565514989249884 , 1.509760
47.627588804344775 , 1.604199
49.689657224560655 , 1.702119
53.813794064992436 , 1.810738
55.87586248520835  , 1.925001
57.937930905424224 , 2.052908
59.99999932564015  , 2.185106
